barkod,miktar,markalar,alerjenler,eser_miktarlar,icerik_sayisi,nutriscore_notu,nova_grubu,yesil_skor_notu,palmiye_yagi_icermez,vejetaryen,vegan_durumu,enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,lif_g,protein_g,tuz_g,alkol_yuzde,meyve_sebze_baklagil_yuzde,birim,kategori_listesi,etiketler_listesi
6111035502828.0,33.0,ain atlas,[],[],1.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,cl,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Natural mineral waters']",['Green Dot']
3329770077003.0,850.0,yoplait,['Milk'],[],1.0,A,3.0,A,True,True,no,57.0,0.105,0.065,3.6,0.0,0.0,9.5,0.1375,,,g,"['Dairies', 'Fermented foods', 'Fermented milk products', 'Cheeses', 'Desserts', 'Dairy desserts', 'Fermented dairy desserts', 'Fromages blancs - petit suisses and skyr', 'Plain fermented dairy desserts', 'Skyrs', 'Plain skyrs']","['French milk', 'Made in France', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
3760049798609.0,500.0,la boulangère,['Gluten'],"['Eggs', 'Milk', 'Mustard', 'Sesame seeds', 'Soybeans']",17.0,A,4.0,A,True,True,yes,294.0,9.6,1.0,37.0,0.0,7.2,12.0,0.96,,0.48,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Cereals and their products', 'Breads', 'Sliced breads']","['Fair trade', 'Source of fibre', 'High fibres', 'Made in France', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'Agri-Éthique France', 'fr:Blé français', 'Triman']"
6175700.0,160.0,ekibio,[],[],3.0,A,3.0,A,True,True,yes,388.0,2.8,0.6,75.0,2.6,4.4,13.4,0.68,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Snacks', 'Cereals and potatoes', 'Cereals and their products', 'Extruded crispbreads']","['Vegetarian', 'Fair trade', 'No gluten', 'Organic', 'Crossed Grain Trademark', 'EU Organic', 'Kosher', 'Vegan', 'Green Dot', 'Nutriscore', 'Nutriscore Grade A', 'The Vegan Society', 'AB Agriculture Biologique', 'Afdiag']"
6111035003035.0,1.0,les eaux minérales d'oulmès s.a.,[],[],1.0,A,,,False,True,yes,,,,,,,,0.078375,,0.0,l,"['Beverages and beverages preparations', 'Beverages', 'Carbonated drinks', 'Waters', 'Spring waters', 'Mineral waters', 'Carbonated waters', 'Natural mineral waters', 'Carbonated mineral waters']","['ISO 22000', 'ISO 14001', 'ISO 45001', 'ISO 9001', 'Natural co2']"
7311070032611.0,425.0,krisprolls,['Gluten'],[],7.0,A,4.0,A,True,True,yes,400.0,6.6,0.9,68.0,1.1,8.3,13.0,1.1,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Cereals and their products', 'Breads', 'Rusks', 'Toasts', 'Toasted bread rolls', 'fr:Petit pain grillé suédois sans sucre', 'fr:Petit-pain-suedois-sans-sucre']","['Sustainable', 'No preservatives', 'Source of fibre', 'Sustainable Palm Oil', 'High fibres', 'No added sugar', 'No additives', 'No palm oil', 'Roundtable on Sustainable Palm Oil', 'Triman']"
3168930163480.0,1.0,alvalle,[],['Gluten'],9.0,A,3.0,A,True,True,yes,40.0,2.2,0.4,3.5,3.3,1.2,0.9,0.62,,,l,"['Plant-based foods and beverages', 'Plant-based foods', 'Fruits and vegetables based foods', 'Meals', 'Soups', 'Vegetable soups', 'Cold soups', 'Gazpacho']","['No gluten', 'No preservatives', 'FSC', 'Green Dot', 'No additives', 'No colorings', 'Nutriscore', 'Nutriscore Grade A', 'Triman', 'fr:Emballage Carbon neutral', 'fr:FSC-C081801']"
42104964.0,33.0,ciel,[],['Nuts'],4.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,,0.0,0.13,,,cl,"['Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Table waters']",[]
7300400481595.0,275.0,wasa,['Gluten'],"['Lupin', 'Milk', 'Mustard', 'Sesame seeds', 'Soybeans']",4.0,A,3.0,A,True,True,yes,336.0,1.5,0.4,62.0,0.0,19.0,9.0,1.0,0.0,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Snacks', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breads', 'Rusks', 'Crispbreads', 'fr:Pain croquant']","['Vegetarian', 'Green Dot', 'Triman']"
6111035001659.0,5.0,eau minérale naturelle des montagnes d'atlas,[],[],12.0,A,,,False,True,yes,,,,,,,,0.0,,,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters']",[]
7300400481588.0,230.0,wasa,"['Gluten', 'Sesame seeds']","['Lupin', 'Milk', 'Mustard', 'Soybeans']",6.0,A,3.0,A,True,True,yes,333.0,5.0,1.0,47.0,2.0,26.0,12.0,1.2,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Snacks', 'Cereals and potatoes', 'Salty snacks', 'Appetizers', 'Cereals and their products', 'Chips and fries', 'Crisps', 'Breads', 'Extruded crispbreads', 'Crispbreads', 'Crispbreads (wholemeal)', 'Extruded and grilled crispbread']","['Vegetarian', 'Source of fibre', 'Green Dot', 'High fibres', 'Triman', 'fr:Emballage-recyclable']"
3327272107969.0,454.0,menguy's,['Peanuts'],"['Gluten', 'Nuts', 'Soybeans']",1.0,A,1.0,D,True,True,yes,610.0,48.0,5.8,13.0,6.2,7.0,28.0,0.05,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Legumes and their products', 'Spreads', 'Nuts and their products', 'Plant-based spreads', 'Oilseed purees', 'Legume butters', 'Peanut butters']","['Made in France', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
6111128000460.0,5.0,aïn saiss,[],[],1.0,A,1.0,,True,True,yes,,,,,,,,0.002,,,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Natural mineral waters']",[]
6111242100305.0,110.0,jaouda,['Milk'],[],9.0,A,4.0,B,,,no,109.0,3.0,0.4,16.9,2.0,,3.6,0.0,,0.0,g,"['Dairies', 'Fermented foods', 'Fermented milk products', 'Desserts', 'Dairy desserts', 'Fermented dairy desserts', 'Yogurts']",[]
6111128000163.0,0.33,danone,[],[],8.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters']",[]
6111128000088.0,,عين سايس,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters']",['Green Dot']
6111035001635.0,1.5,ain atlas,[],[],1.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,,0.0,0.12,,,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters']",[]
3268840001008.0,500.0,cristaline,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00476,0.0,,ml,"['Beverages and beverages preparations', 'Beverages', 'Snacks', 'Waters', 'Spring waters']","['Triman', 'fr:Sans Nitrates']"
3760091727732.0,350.0,ethiquable,"['Nuts', 'Peanuts']",['Nuts'],1.0,A,1.0,B,True,True,yes,622.0,50.0,6.8,13.0,5.8,8.3,26.0,0.03,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Legumes and their products', 'Spreads', 'Plant-based spreads', 'Oilseed purees', 'Legume butters', 'Peanut butters']","['Fair trade', 'Organic', 'EU Organic', 'Non-EU Agriculture', 'Fair-Trade Organic', 'FR-BIO-01', 'Made in France', 'AB Agriculture Biologique', 'Triman']"
3229820019307.0,500.0,bjorg,"['Gluten', 'fr:avoine', 'fr:avoine']","['Milk', 'Nuts', 'Sesame seeds', 'Soybeans']",1.0,A,1.0,A,True,True,yes,362.0,7.1,1.3,58.0,0.0,11.0,11.0,0.02,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Flakes', 'Cereal flakes', 'Rolled flakes', 'Rolled oats']","['Organic', 'Certified by Ecocert', 'EU Organic', 'Source of fibre', 'Certified B Corporation', 'DE-ÖKO-001', 'EU Agriculture', 'High fibres', 'Made in Germany', 'AB Agriculture Biologique', 'Triman', 'fr:Riche en magnésium']"
6111246721940.0,900.0,le berger,['Milk'],[],3.0,A,3.0,B,False,True,no,234.0,23.5,0.0,4.9,0.0,0.0,4.9,0.0,0.0,,g,"['Dairies', 'Fermented foods', 'Fermented milk products', 'Cheeses', 'Desserts', 'Dairy desserts', 'Fermented dairy desserts', 'Fromages blancs - petit suisses and skyr', 'fr:Fromages blancs']",[]
3229820129488.0,375.0,bjorg,['Gluten'],"['Milk', 'Nuts', 'Sesame seeds', 'Soybeans']",20.0,A,3.0,A,True,True,yes,352.0,5.8,0.9,59.0,14.0,10.0,11.0,0.03,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Cereals with fruits', 'Mueslis', 'Mueslis with fruits']","['Organic', 'Certified by Ecocert', 'EU Organic', 'Non-EU Agriculture', 'Source of fibre', 'Certified B Corporation', 'DE-ÖKO-001', 'EU Agriculture', 'EU/non-EU Agriculture', 'FR-BIO-01', 'GB-ORG-05', 'High fibres', 'No added sugar', 'Planet-Score', 'AB Agriculture Biologique', 'fr:Céréales complètes', 'fr:Planet Score A']"
20724696.0,200.0,alesto,['Nuts'],"['Nuts', 'Peanuts']",1.0,A,1.0,D,True,True,yes,620.0,53.3,4.3,4.8,4.8,12.4,24.5,0.01,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Nuts and their products', 'Nuts', 'Almonds']","['Vegetarian', 'Vegan', 'European Vegetarian Union', 'European Vegetarian Union Vegan', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
5010477348678.0,750.0,jordans,"['Gluten', 'Nuts', 'fr:avoine', 'fr:avoine']","['Gluten', 'Nuts']",14.0,A,1.0,B,True,True,yes,362.0,7.2,2.0,60.0,17.0,8.8,10.0,0.03,,30.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Cereals with fruits', 'Mueslis', 'Mueslis with fruits']","['Low or no salt', 'Vegetarian', 'No artificial flavors', 'No preservatives', 'Source of fibre', 'High fibres', 'Iron source', 'Magnesium source', 'No added salt', 'No added sugar', 'No colorings', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'Phosphore source', 'Rich in vitamin B1', 'Triman', 'fr:Source-de-potassium']"
3229820782560.0,375.0,bjorg,"['Gluten', 'Nuts']","['Milk', 'Nuts', 'Sesame seeds', 'Soybeans']",12.0,A,3.0,A,True,True,yes,358.0,6.0,0.857142857142857,60.0,13.0,10.0,12.0,0.04,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Cereals with fruits', 'Mueslis', 'Mueslis with fruits']","['Organic', 'Certified by Ecocert', 'EU Organic', 'Non-EU Agriculture', 'Source of fibre', 'DE-ÖKO-001', 'EU Agriculture', 'EU/non-EU Agriculture', 'Green Dot', 'High fibres', 'Made in Germany', 'No added sugar', 'Nutriscore', 'Nutriscore Grade A', 'AB Agriculture Biologique', 'fr:Entreprise Certifiée B']"
6111035001673.0,50.0,aïn atlas,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,,cl,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters']",['Aïn Atlas']
6111251420166.0,1.5,aïn lfrane,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,,0.0,3e-06,,,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Natural mineral waters']",['Tidy man']
6111035003523.0,5.0,bahia,[],[],1.0,A,1.0,,True,True,yes,,,,,,,,0.0055,,,litres,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Table waters']",[]
20005733.0,400.0,alesto,['Nuts'],"['Nuts', 'Peanuts']",1.0,A,1.0,D,True,True,yes,704.0,69.1,6.8,3.7,3.0,6.8,15.5,0.02,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Nuts and their products', 'Nuts', 'Shelled nuts', 'Walnuts', 'Walnut kernels']","['Low or no salt', 'Vegetarian', 'Omega-3', 'Vegan', 'High in Omega 3', 'No added salt', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
20047238.0,200.0,alesto selection,['Nuts'],"['Nuts', 'Peanuts']",4.0,A,1.0,D,True,True,yes,599.0,58.0,6.4,6.4,4.2,8.5,20.4,0.01,,0.0,unknown,"['Plant-based foods and beverages', 'Plant-based foods', 'Nuts and their products', 'Nuts', 'Almonds', 'Hazelnuts', 'Shelled nuts', 'Cashew nuts', 'Shelled almonds', 'Unsalted nuts', 'Blanched almonds', 'Unroasted almonds', 'Unsalted almonds', 'Unsalted cashews', 'Walnuts', 'Whole almonds', 'Mixed nuts', 'Unshelled hazelnuts', 'Walnut kernels', 'de:Blanch']","['Vegetarian', 'Omega-3', 'Source of proteins', 'Vegan', 'Nutriscore', 'Nutriscore Grade A', 'Source of omega-3', 'V-Label International', 'V-Label International Vegan']"
6111035003004.0,50.0,oulmès,[],[],4.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078375,,0.0,cl,"['Beverages and beverages preparations', 'Beverages', 'Carbonated drinks', 'Waters', 'Spring waters', 'Carbonated waters', 'Mineral waters', 'Carbonated mineral waters']",[]
5010029000023.0,430.0,weetabix,['Gluten'],[],10.0,A,3.0,C,True,True,yes,194.0,2.13,0.533,69.1,0.0,10.1,12.0,0.26,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Breakfast cereals rich in fibre', 'fr:Weetabix']","['Low or no fat', 'Low or no sugar', 'Vegetarian', 'Low fat', 'Low sugar', 'Source of fibre', 'Vegan', 'Green Dot', 'High fibres', 'Nutriscore', 'Nutriscore Grade A', 'Triman', ""fr:Contient de l'acide folique""]"
8002270014901.0,1.0,nestlé,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,l,"['Beverages and beverages preparations', 'Beverages', 'Carbonated drinks', 'Waters', 'Spring waters', 'Mineral waters', 'Carbonated waters', 'Natural mineral waters', 'Carbonated mineral waters', 'Carbonated natural mineral waters', 'Boissons-sans-sucre-ajoute']","['Vegetarian', 'Vegan', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
7300400481571.0,270.0,barilla,['Gluten'],"['Lupin', 'Milk', 'Mustard', 'Sesame seeds', 'Soybeans']",2.0,A,3.0,,True,True,yes,338.0,1.5,0.3,62.0,2.0,20.0,9.0,1.0,0.0,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Snacks', 'Cereals and potatoes', 'Salty snacks', 'Appetizers', 'Cereals and their products', 'Chips and fries', 'Crisps', 'Breads', 'Crispbreads', 'Crispbreads (wholemeal)']","['Vegetarian', 'Triman', 'fr:Co2-compensated']"
3068320123264.0,1.15,danone,[],[],2.0,A,4.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125,,,l,"['Beverages and beverages preparations', 'Beverages', 'Carbonated drinks', 'Waters', 'Spring waters', 'Mineral waters', 'Carbonated waters', 'Natural mineral waters', 'Carbonated mineral waters', 'Carbonated natural mineral waters']","['fr:Sud de France', 'Triman']"
4056489620938.0,500.0,lidl,['Peanuts'],['Soybeans'],1.0,A,1.0,D,True,True,yes,683.0,55.1,12.0,12.0,3.9,9.2,30.4,0.03,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Legumes and their products', 'Spreads', 'Nuts and their products', 'Plant-based spreads', 'Oilseed purees', 'Legume butters', 'Nut butters', 'Peanut butters']",['Nutriscore']
3228857002245.0,500.0,harrys,['Gluten'],"['Eggs', 'Lupin', 'Milk', 'Nuts', 'Sesame seeds', 'Soybeans']",15.0,A,4.0,A,True,True,maybe,293.0,8.0,0.8,40.0,3.0,8.7,11.0,1.0,,2.05,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Cereals and their products', 'Breads', 'Sliced breads']","['Vegetarian', 'Source of fibre', 'High fibres', 'Made in France', 'No added sugar', 'No additives', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'fr:Blé français', 'Triman']"
3229820769165.0,375.0,bjorg,"['Gluten', 'Milk']","['Nuts', 'Sesame seeds', 'Soybeans']",28.0,A,4.0,A,True,True,no,387.0,8.8,3.3,60.0,8.2,10.0,12.0,0.1,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Chocolate cereals', 'Mueslis', 'Mueslis with chocolate']","['Organic', 'EU Organic', 'Non-EU Agriculture', 'Certified B Corporation', 'DE-ÖKO-001', 'EU Agriculture', 'EU/non-EU Agriculture', 'Green Dot', 'Made in Germany', 'Planet-Score', 'AB Agriculture Biologique', 'fr:Planet-score-b']"
3057640257773.0,1.5,volvic,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,,,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Unsweetened beverages', 'Natural mineral waters', 'fr:getränke', 'fr:natürliches-mineralwasser']","['Carbon compensated product', 'Carbon Trust', 'Carbon Trust Carbon Neutral', 'Certified B Corporation', 'Triman', 'B-corporation-certification']"
3228857001378.0,485.0,harry's,"['Eggs', 'Gluten']","['Milk', 'Nuts', 'Sesame seeds', 'Soybeans']",16.0,A,4.0,C,True,,no,322.0,10.0,0.9,46.0,9.3,7.2,8.5,1.0,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Snacks', 'Cereals and potatoes', 'Sweet snacks', 'Cereals and their products', 'Sweet pastries and pies', 'Breads', 'Viennoiseries', 'Brioches', 'fr:Brioches tranchées', 'fr:Brioches natures']","['Low or no sugar', 'Low sugar', 'Reduced sugar', '30% less sugar', 'Made in France', 'No additives', 'No palm oil', 'Nutriscore', 'Nutriscore Grade B', 'Triman']"
3760049790252.0,500.0,la boulangère,['Gluten'],"['Mustard', 'Sesame seeds', 'Soybeans']",13.0,A,4.0,A,,True,yes,226.0,1.9,0.9,39.0,2.8,6.2,10.0,0.98,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Breads', 'Sliced breads', 'Packaged breads', 'Wholemeal breads', 'Wholemeal sliced breads']","['Low or no fat', 'Vegetarian', 'Fair trade', 'No added fat', 'No added sugar', 'Nutriscore', 'Nutriscore Grade A', 'Agri-Éthique France']"
3760049798869.0,500.0,la boulangère,['Gluten'],['Soybeans'],14.0,A,4.0,A,True,True,yes,252.0,5.1,0.5,38.0,1.9,6.9,10.0,0.99,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Breads', 'Sliced breads', 'Wholemeal breads', 'Wholemeal sliced breads']","['Fair trade', 'Organic', 'EU Organic', '1% for the planet', 'Made in France', 'No added sugar', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'AB Agriculture Biologique', 'Agri-Éthique France', 'fr:Farine de blé français', 'Triman', 'fr:Électricité verte Origine France']"
3168930009078.0,550.0,quaker,[],['Gluten'],1.0,A,1.0,A,True,True,yes,375.0,8.0,1.5,60.0,1.1,9.0,11.0,0.01,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Flakes', 'Cereal flakes', 'Rolled flakes', 'Rolled oats']","['No preservatives', 'Source of fibre', '100% natural', 'High fibres', 'No added sugar', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
3760020508012.0,150.0,jardin bio étic,[],[],3.0,A,3.0,A,True,True,yes,362.0,2.3,0.7,72.0,0.0,4.5,11.0,0.57,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Snacks', 'Cereals and potatoes', 'Specific products', 'Products for specific diets', 'Products without gluten', 'Extruded crispbreads']","['No gluten', 'Organic', 'Crossed Grain Trademark', 'EU Organic', '1% for the planet', 'DZG Gluten free', 'EU Agriculture', 'FR-BIO-01', 'Green Dot', 'Made in France', 'No added sugar', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'AB Agriculture Biologique', 'Triman']"
5411188119098.0,0.5,alpro,"['Soybeans', 'de:sojabasis']",['Nuts'],26.0,A,4.0,A,,True,yes,54.0,2.8,1.0,2.4,0.0,0.9,3.9,0.22,,,kg,"['Plant-based foods and beverages', 'Fermented foods', 'Dairy substitutes', 'Desserts', 'Vegan products', 'Non-dairy desserts', 'Non-dairy fermented foods', 'Non-dairy yogurts', 'Soy milk yogurts']","['Low or no fat', 'Low or no sugar', 'Vegetarian', 'Low fat', 'Low sugar', 'No gluten', 'No milk', 'Source of proteins', 'Vegan', '100% vegetable', 'Calcium source', 'European Vegetarian Union', 'European Vegetarian Union Vegan', 'Green Dot', 'High proteins', 'No lactose', 'Nutriscore', 'Nutriscore Grade B', 'ProTerra', 'Rich in vegetable protein', 'Triman']"
20003166.0,500.0,crownfield,['Gluten'],['Gluten'],1.0,A,1.0,A,True,True,yes,372.0,7.0,1.3,58.7,0.0,10.0,13.5,0.03,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Flakes', 'Cereal flakes', 'Extruded flakes', 'Rolled flakes', 'Rolled oats', 'ro:Cereale']","['German Agricultural Society', 'Gold medal of the German Agricultural Society', 'Source of fibre', '2014 Gold medal of the German Agricultural Society', 'Green Dot', 'High fibres', 'Nutriscore', 'Nutriscore Grade A', 'Triman', 'Verified', 'es:recicla-azul', 'fr:medaille-d-or-de-la-societe']"
3175681257542.0,132.0,gerblé,['Gluten'],['En-eggs-en-lupin-en-milk-en-nuts-en-sesame-seeds-en-soybeans'],11.0,A,4.0,B,True,True,yes,48.0,1.5,0.2,7.5,1.8,0.6,0.8,0.02,,,g,"['Snacks', 'Sweet snacks', 'Biscuits and cakes', 'Biscuits']","['Organic', 'EU Organic', 'Non-EU Agriculture', 'EU Agriculture', 'EU/non-EU Agriculture', 'FR-BIO-10', 'Made in France', 'No palm oil', 'Nutriscore', 'Nutriscore Grade B', 'AB Agriculture Biologique', 'Triman']"
6111248360130.0,33.0,سلطان,[],[],3.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,cl,"['Beverages and beverages preparations', 'Plant-based foods and beverages', 'Beverages', 'Plant-based foods', 'Fruits and vegetables based foods', 'Fruits based foods', 'Fruits', 'Waters', 'Spring waters', 'Mineral waters', 'Unsweetened beverages', 'Natural mineral waters', 'Non-carbonated natural mineral waters']",[]
3228857002221.0,550.0,harrys,"['Gluten', 'Soybeans']","['Eggs', 'Milk', 'Nuts', 'Sesame seeds']",19.0,A,4.0,A,True,True,yes,278.0,6.5,0.6,42.0,0.0,7.6,9.0,1.0,,3.5875,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Frozen foods', 'Cereals and their products', 'Breads', 'Sliced breads', 'Frozen breads', 'Multigrain sliced breads']","['Vegetarian', 'Source of fibre', 'Vegan', 'High fibres', 'No added sugar', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
5449000206770.0,5.0,ciel,[],['Nuts'],1.0,A,,,False,True,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Table waters']",[]
